case,material,d_mm,ballistic_coef_kg_m2,m0_kg,m_final_kg,f_ablated,demised,reaches_ground,T_max_K,melted,q_peak_W_m2,h_peak_heating_km,v_final_m_s,h_final_km,peak_decel_g,d_final_mm,v_terminal_m_s,impact_KE_J
"missed projectile (800 km, 619 m/s retrograde)",Re,0.05,0.761232,1.3751e-09,1e-15,0.999999,True,False,3476.39,True,5.20034e+07,97.3444,7568.06,97.3328,45.4072,0,0,0
"missed projectile (800 km, 619 m/s retrograde)",Re,0.1,1.52246,1.10008e-08,3.67939e-13,0.999967,True,False,3459.69,True,5.57219e+07,92.0051,7425.74,91.9938,56.2116,0,0,0
"missed projectile (800 km, 619 m/s retrograde)",Re,0.45,6.85109,1.00245e-06,4.84599e-11,0.999952,True,False,3459.76,True,8.00044e+07,77.5413,6585.32,77.5311,185.84,0,0,0
"missed projectile (800 km, 619 m/s retrograde)",Re,1,15.2246,1.10008e-05,1.11673e-09,0.999898,True,False,3459.58,True,2.98583e+07,67.3169,49.9788,59.5098,119.267,0,0,0
"missed projectile (800 km, 619 m/s retrograde)",Re,2,30.4493,8.80065e-05,1.4891e-05,0.830796,False,True,3459.41,True,2.40329e+07,63.2232,49.9943,38.0524,28.9799,1.1062,16.4209,0.00200766
"missed projectile (800 km, 619 m/s retrograde)",Re,5,76.1232,0.0013751,0.000787953,0.426985,False,True,3459.43,True,2.1855e+07,56.5276,49.9813,28.6702,23.1366,4.15297,31.8171,0.398833
"missed projectile (800 km, 619 m/s retrograde)",Re,10,152.246,0.0110008,0.00850597,0.226787,False,True,3459.45,True,2.10597e+07,50.827,49.9943,23.4844,22.9967,9.17839,47.3003,9.51529
"missed projectile (800 km, 619 m/s retrograde)",Re,20,304.493,0.0880065,0.0781301,0.112224,False,True,3459.44,True,2.08648e+07,44.653,49.9771,18.8168,24.1749,19.222,68.451,183.041
"missed projectile (800 km, 619 m/s retrograde)",Re,50,761.232,1.3751,1.33901,0.0262468,False,True,3459.78,True,2.14376e+07,37.2075,49.9457,13.0232,25.7917,49.5587,109.911,8087.88
"missed projectile (800 km, 619 m/s retrograde)",W,0.05,0.697464,1.25991e-09,1.36603e-14,0.999989,True,False,3695.16,True,6.03832e+07,93.6575,7347.71,93.6462,75.0759,0,0,0
"missed projectile (800 km, 619 m/s retrograde)",W,0.1,1.39493,1.00793e-08,5.26814e-13,0.999948,True,False,3695.42,True,7.29025e+07,87.8727,7036.31,87.8619,129.713,0,0,0
"missed projectile (800 km, 619 m/s retrograde)",W,0.45,6.27717,9.18474e-07,1.26613e-08,0.986215,False,True,3695.71,True,2.68966e+07,72.7892,49.9353,56.7223,54.345,0.107899,4.90898,1.52556e-07
"missed projectile (800 km, 619 m/s retrograde)",W,1,13.9493,1.00793e-05,3.81805e-06,0.621198,False,True,3695.06,True,2.30043e+07,68.2351,49.9203,42.086,27.5905,0.723554,12.7121,0.000308495
"missed projectile (800 km, 619 m/s retrograde)",W,2,27.8986,8.06342e-05,5.43835e-05,0.325553,False,True,3695.29,True,2.17227e+07,63.7452,49.9337,35.3087,23.7552,1.75393,19.792,0.0106516
"missed projectile (800 km, 619 m/s retrograde)",W,5,69.7464,0.00125991,0.00110415,0.123631,False,True,3695.15,True,2.05752e+07,57.1161,49.9932,28.3134,21.9932,4.78482,32.6901,0.589968
"missed projectile (800 km, 619 m/s retrograde)",W,10,139.493,0.0100793,0.00949474,0.057994,False,True,3695.22,True,2.00089e+07,51.531,49.9468,23.6249,22.4353,9.80282,46.7906,10.3937
"missed projectile (800 km, 619 m/s retrograde)",W,20,278.986,0.0806342,0.0784241,0.0274092,False,True,3695.19,True,1.98598e+07,45.4469,49.9421,19.1723,23.7857,19.8156,66.5252,173.537
"missed projectile (800 km, 619 m/s retrograde)",W,50,697.464,1.25991,1.25349,0.00509805,False,True,3695.41,True,2.04231e+07,37.8333,49.9409,13.5156,25.5736,49.9149,105.584,6986.92
debris after natural decay (shallow),Al,0.05,0.0978261,1.76715e-10,1e-15,0.999994,True,False,1786.19,True,3.69343e+07,99.9885,7736.54,99.9878,162.252,0,0,0
debris after natural decay (shallow),Al,0.1,0.195652,1.41372e-09,6.0337e-14,0.999957,True,False,1349.48,True,2.42807e+07,99.9661,7715.44,99.9654,71.2191,0,0,0
debris after natural decay (shallow),Al,0.45,0.880435,1.28825e-07,1.08568e-11,0.999916,True,False,958.974,True,1.68988e+07,99.6607,7583.76,99.66,37.0195,0,0,0
debris after natural decay (shallow),Al,1,1.95652,1.41372e-06,1.30917e-10,0.999907,True,False,946.048,True,1.19714e+07,98.8727,7452.42,98.872,19.9404,0,0,0
debris after natural decay (shallow),Al,2,3.91304,1.13097e-05,1.0902e-09,0.999904,True,False,938.672,True,9.39497e+06,96.8295,7225.76,96.8286,13.9,0,0,0
debris after natural decay (shallow),Al,5,9.78261,0.000176715,1.76135e-08,0.9999,True,False,934.216,True,7.78736e+06,87.8204,6017.8,87.8189,19.8406,0,0,0
debris after natural decay (shallow),Al,10,19.5652,0.00141372,1.55288e-05,0.989016,False,True,933.419,True,3.94274e+06,78.9621,49.9138,50.1889,9.46171,2.22293,8.34473,0.000540669
debris after natural decay (shallow),Al,20,39.1304,0.0113097,0.00227044,0.799249,False,True,933.079,True,3.64095e+06,72.4107,49.9676,36.8091,7.75015,11.7107,19.1532,0.416449
debris after natural decay (shallow),Al,50,97.8261,0.176715,0.102961,0.417359,False,True,933.05,True,3.52815e+06,65.0474,49.9977,27.7496,7.26941,41.7609,36.1689,67.3461
